attack_name,target_mode,num_random_init,max_iter,epsilon,nn1_asr,nn2_asr,nn2_successful,total_images,time_elapsed_s
PGD_Targeted_Fixed,Fixed,1,10,0.1,100.0,1.9,19,1000,9.94
PGD_Targeted_Fixed,Fixed,1,20,0.001,0.0,0.0,0,1000,9.99
PGD_Targeted_Fixed,Fixed,1,20,0.003,0.0,0.0,0,1000,9.93
PGD_Targeted_Fixed,Fixed,1,20,0.005,0.4,0.0,0,1000,10.06
PGD_Targeted_Fixed,Fixed,1,20,0.01,8.2,0.0,0,1000,9.98
PGD_Targeted_Fixed,Fixed,1,20,0.03,93.1,0.1,1,1000,10.02
PGD_Targeted_Fixed,Fixed,1,20,0.05,99.9,0.9,9,1000,10.4
PGD_Targeted_Fixed,Fixed,1,20,0.1,100.0,1.2,12,1000,9.86
PGD_Targeted_Fixed,Fixed,1,40,0.001,0.0,0.0,0,1000,9.95
PGD_Targeted_Fixed,Fixed,1,40,0.003,0.0,0.0,0,1000,10.32
PGD_Targeted_Fixed,Fixed,1,40,0.005,0.4,0.0,0,1000,10.25
PGD_Targeted_Fixed,Fixed,1,40,0.01,8.4,0.0,0,1000,10.29
PGD_Targeted_Fixed,Fixed,1,40,0.03,94.7,0.2,2,1000,10.15
PGD_Targeted_Fixed,Fixed,1,40,0.05,100.0,0.9,9,1000,10.22
PGD_Targeted_Fixed,Fixed,1,40,0.1,100.0,1.2,12,1000,10.03
PGD_Targeted_Fixed,Fixed,3,1,0.001,0.0,0.0,0,1000,9.94
PGD_Targeted_Fixed,Fixed,3,1,0.003,0.0,0.0,0,1000,10.11
PGD_Targeted_Fixed,Fixed,3,1,0.005,0.2,0.0,0,1000,9.88
PGD_Targeted_Fixed,Fixed,3,1,0.01,0.7,0.0,0,1000,10.61
PGD_Targeted_Fixed,Fixed,3,1,0.03,6.4,0.3,3,1000,10.09
PGD_Targeted_Fixed,Fixed,3,1,0.05,8.9,0.3,3,1000,9.99
PGD_Targeted_Fixed,Fixed,3,1,0.1,7.7,1.1,11,1000,10.25
PGD_Targeted_Fixed,Fixed,3,5,0.001,0.0,0.0,0,1000,10.38
PGD_Targeted_Fixed,Fixed,3,5,0.003,0.0,0.0,0,1000,9.82
PGD_Targeted_Fixed,Fixed,3,5,0.005,0.4,0.0,0,1000,9.92
PGD_Targeted_Fixed,Fixed,3,5,0.01,6.2,0.0,0,1000,10.1
PGD_Targeted_Fixed,Fixed,3,5,0.03,82.4,0.1,1,1000,10.01
PGD_Targeted_Fixed,Fixed,3,5,0.05,96.3,1.1,11,1000,9.99
PGD_Targeted_Fixed,Fixed,3,5,0.1,99.2,5.0,50,1000,9.95
PGD_Targeted_Fixed,Fixed,3,10,0.001,0.0,0.0,0,1000,9.74
PGD_Targeted_Fixed,Fixed,3,10,0.003,0.0,0.0,0,1000,10.34
PGD_Targeted_Fixed,Fixed,3,10,0.005,0.4,0.0,0,1000,10.11
PGD_Targeted_Fixed,Fixed,3,10,0.01,7.5,0.0,0,1000,10.15
PGD_Targeted_Fixed,Fixed,3,10,0.03,90.6,0.2,2,1000,10.07
PGD_Targeted_Fixed,Fixed,3,10,0.05,99.8,0.6,6,1000,10.11
PGD_Targeted_Fixed,Fixed,3,10,0.1,100.0,2.3,23,1000,9.84
PGD_Targeted_Fixed,Fixed,3,20,0.001,0.0,0.0,0,1000,10.22
